model,modality,focus,budget_tokens,position,metric,mean,std,runs,ok_runs,latency_mean,prompt_tokens_mean,cost_mean
deepseek-flash,confusion,spans,16000,target_at_end,span_f1,0.044,0.0,1,1,125.401,16494,0.0047
deepseek-flash,confusion,spans,16000,target_at_end,exact_match,0.0,0.0,1,1,125.401,16494,0.0047
deepseek-flash,confusion,spans,16000,target_at_end,abstention_rate,0.5676,0.0,1,1,125.401,16494,0.0047
deepseek-flash,confusion,spans,16000,target_at_end,hallucination_rate,0.4324,0.0,1,1,125.401,16494,0.0047
deepseek-flash,confusion,spans,16000,target_at_end,wrong_doc_rate,1.0,0.0,1,1,125.401,16494,0.0047
deepseek-flash,confusion,spans,16000,target_at_end,answered_positive_rate,1.0,0.0,1,1,125.401,16494,0.0047
deepseek-flash,confusion,spans,16000,target_at_middle,span_f1,0.0663,0.0,1,1,79.925,16468,0.0025
deepseek-flash,confusion,spans,16000,target_at_middle,exact_match,0.0,0.0,1,1,79.925,16468,0.0025
deepseek-flash,confusion,spans,16000,target_at_middle,abstention_rate,0.5676,0.0,1,1,79.925,16468,0.0025
deepseek-flash,confusion,spans,16000,target_at_middle,hallucination_rate,0.4324,0.0,1,1,79.925,16468,0.0025
deepseek-flash,confusion,spans,16000,target_at_middle,wrong_doc_rate,1.0,0.0,1,1,79.925,16468,0.0025
deepseek-flash,confusion,spans,16000,target_at_middle,answered_positive_rate,1.0,0.0,1,1,79.925,16468,0.0025
deepseek-flash,confusion,spans,16000,target_at_start,span_f1,0.7167,0.0,1,1,33.636,16708,0.0024
deepseek-flash,confusion,spans,16000,target_at_start,exact_match,0.5,0.0,1,1,33.636,16708,0.0024
deepseek-flash,confusion,spans,16000,target_at_start,abstention_rate,0.5135,0.0,1,1,33.636,16708,0.0024
deepseek-flash,confusion,spans,16000,target_at_start,hallucination_rate,0.4865,0.0,1,1,33.636,16708,0.0024
deepseek-flash,confusion,spans,16000,target_at_start,wrong_doc_rate,0.0,0.0,1,1,33.636,16708,0.0024
deepseek-flash,confusion,spans,16000,target_at_start,answered_positive_rate,1.0,0.0,1,1,33.636,16708,0.0024
deepseek-flash,confusion,spans,256000,target_at_end,span_f1,0.0485,0.0,1,1,103.431,216517,0.0326
deepseek-flash,confusion,spans,256000,target_at_end,exact_match,0.0,0.0,1,1,103.431,216517,0.0326
deepseek-flash,confusion,spans,256000,target_at_end,abstention_rate,0.1351,0.0,1,1,103.431,216517,0.0326
deepseek-flash,confusion,spans,256000,target_at_end,hallucination_rate,0.8649,0.0,1,1,103.431,216517,0.0326
deepseek-flash,confusion,spans,256000,target_at_end,wrong_doc_rate,1.0,0.0,1,1,103.431,216517,0.0326
deepseek-flash,confusion,spans,256000,target_at_end,answered_positive_rate,1.0,0.0,1,1,103.431,216517,0.0326
deepseek-flash,confusion,spans,256000,target_at_middle,span_f1,0.0917,0.0,1,1,84.895,213543,0.0301
deepseek-flash,confusion,spans,256000,target_at_middle,exact_match,0.0,0.0,1,1,84.895,213543,0.0301
deepseek-flash,confusion,spans,256000,target_at_middle,abstention_rate,0.1081,0.0,1,1,84.895,213543,0.0301
deepseek-flash,confusion,spans,256000,target_at_middle,hallucination_rate,0.8919,0.0,1,1,84.895,213543,0.0301
deepseek-flash,confusion,spans,256000,target_at_middle,wrong_doc_rate,1.0,0.0,1,1,84.895,213543,0.0301
deepseek-flash,confusion,spans,256000,target_at_middle,answered_positive_rate,1.0,0.0,1,1,84.895,213543,0.0301
deepseek-flash,confusion,spans,4000,target_at_end,span_f1,0.0616,0.0,1,1,81.667,6804,0.002
deepseek-flash,confusion,spans,4000,target_at_end,exact_match,0.0,0.0,1,1,81.667,6804,0.002
deepseek-flash,confusion,spans,4000,target_at_end,abstention_rate,0.9459,0.0,1,1,81.667,6804,0.002
deepseek-flash,confusion,spans,4000,target_at_end,hallucination_rate,0.0541,0.0,1,1,81.667,6804,0.002
deepseek-flash,confusion,spans,4000,target_at_end,wrong_doc_rate,1.0,0.0,1,1,81.667,6804,0.002
deepseek-flash,confusion,spans,4000,target_at_end,answered_positive_rate,1.0,0.0,1,1,81.667,6804,0.002
