model,model_slug,cell_id,modality,focus,budget_tokens,is_baseline,doc_index,runs,ok_runs,span_f1_mean,span_f1_std,exact_match_mean,exact_match_std,mc_accuracy_mean,mc_accuracy_std,abstention_rate_mean,abstention_rate_std,hallucination_rate_mean,hallucination_rate_std,wrong_doc_rate_mean,wrong_doc_rate_std,answered_positive_rate_mean,answered_positive_rate_std,latency_mean,prompt_tokens_mean,cost_mean
deepseek-flash,deepseek/deepseek-v4-flash,d005_baseline,baseline,spans,0,True,5,1,1,0.7317,0.0,0.5714,0.0,,,0.8,0.0,0.2,0.0,0.0,0.0,1.0,0.0,64.852,9323,0.0027
deepseek-flash,deepseek/deepseek-v4-flash,d005_confusion_b128000,confusion,spans,128000,False,5,1,1,0.7831,0.0,0.5714,0.0,,,0.8,0.0,0.2,0.0,0.0,0.0,1.0,0.0,47.318,114607,0.0084
deepseek-flash,deepseek/deepseek-v4-flash,d005_confusion_b256000,confusion,spans,256000,False,5,1,1,0.7483,0.0,0.4286,0.0,,,0.88,0.0,0.12,0.0,0.0,0.0,1.0,0.0,57.047,222793,0.0226
deepseek-flash,deepseek/deepseek-v4-flash,d005_confusion_b512000,confusion,spans,512000,False,5,1,1,0.7189,0.0,0.5714,0.0,,,0.88,0.0,0.12,0.0,0.0,0.0,1.0,0.0,88.319,437020,0.0618
deepseek-flash,deepseek/deepseek-v4-flash,d005_confusion_b64000,confusion,spans,64000,False,5,1,1,0.7483,0.0,0.4286,0.0,,,0.8,0.0,0.2,0.0,0.0,0.0,1.0,0.0,40.658,62486,0.0049
deepseek-flash,deepseek/deepseek-v4-flash,d005_rot_b128000,rot,spans,128000,False,5,1,1,0.7483,0.0,0.4286,0.0,,,0.76,0.0,0.24,0.0,0.0,0.0,1.0,0.0,59.971,144262,0.0218
deepseek-flash,deepseek/deepseek-v4-flash,d005_rot_b256000,rot,spans,256000,False,5,1,1,0.7317,0.0,0.5714,0.0,,,0.88,0.0,0.12,0.0,0.0,0.0,1.0,0.0,1001.979,279932,0.0398
deepseek-flash,deepseek/deepseek-v4-flash,d005_rot_b512000,rot,spans,512000,False,5,1,1,0.7112,0.0,0.4286,0.0,,,0.88,0.0,0.12,0.0,0.0,0.0,1.0,0.0,88.163,555036,0.0778
deepseek-flash,deepseek/deepseek-v4-flash,d005_rot_b64000,rot,spans,64000,False,5,1,1,0.7831,0.0,0.5714,0.0,,,0.8,0.0,0.2,0.0,0.0,0.0,1.0,0.0,38.952,75527,0.0113
deepseek-flash,deepseek/deepseek-v4-flash,d009_baseline,baseline,spans,0,True,9,1,1,0.6245,0.0,0.25,0.0,,,0.9286,0.0,0.0714,0.0,0.0,0.0,1.0,0.0,19.569,8020,0.0025
deepseek-flash,deepseek/deepseek-v4-flash,d009_confusion_b128000,confusion,spans,128000,False,9,1,1,0.6245,0.0,0.25,0.0,,,0.8929,0.0,0.1071,0.0,0.0,0.0,1.0,0.0,82.201,114545,0.0106
deepseek-flash,deepseek/deepseek-v4-flash,d009_confusion_b256000,confusion,spans,256000,False,9,1,1,0.6245,0.0,0.25,0.0,,,0.9286,0.0,0.0714,0.0,0.0,0.0,1.0,0.0,75.334,222267,0.0294
deepseek-flash,deepseek/deepseek-v4-flash,d009_confusion_b512000,confusion,spans,512000,False,9,1,1,0.6199,0.0,0.25,0.0,,,0.9286,0.0,0.0714,0.0,0.0,0.0,1.0,0.0,60.975,431804,0.0611
deepseek-flash,deepseek/deepseek-v4-flash,d009_confusion_b64000,confusion,spans,64000,False,9,1,1,0.6199,0.0,0.25,0.0,,,0.8929,0.0,0.1071,0.0,0.0,0.0,1.0,0.0,29.076,60776,0.0047
deepseek-flash,deepseek/deepseek-v4-flash,d009_rot_b128000,rot,spans,128000,False,9,1,1,0.6245,0.0,0.25,0.0,,,0.9286,0.0,0.0714,0.0,0.0,0.0,1.0,0.0,44.558,143465,0.0205
deepseek-flash,deepseek/deepseek-v4-flash,d009_rot_b256000,rot,spans,256000,False,9,1,1,0.6245,0.0,0.25,0.0,,,0.9643,0.0,0.0357,0.0,0.0,0.0,1.0,0.0,57.527,283481,0.0401
deepseek-flash,deepseek/deepseek-v4-flash,d009_rot_b512000,rot,spans,512000,False,9,1,1,0.6245,0.0,0.25,0.0,,,0.9286,0.0,0.0714,0.0,0.0,0.0,1.0,0.0,851.331,552803,0.0778
deepseek-flash,deepseek/deepseek-v4-flash,d009_rot_b64000,rot,spans,64000,False,9,1,1,0.6245,0.0,0.25,0.0,,,0.9286,0.0,0.0714,0.0,0.0,0.0,1.0,0.0,22.06,75082,0.0109
deepseek-flash,deepseek/deepseek-v4-flash,d010_baseline,baseline,spans,0,True,10,1,1,0.8314,0.0,0.625,0.0,,,0.8333,0.0,0.1667,0.0,0.0,0.0,1.0,0.0,71.107,10942,0.0029
deepseek-flash,deepseek/deepseek-v4-flash,d010_confusion_b128000,confusion,spans,128000,False,10,1,1,0.9583,0.0,0.875,0.0,,,0.8333,0.0,0.1667,0.0,0.0,0.0,1.0,0.0,42.811,119720,0.0173
deepseek-flash,deepseek/deepseek-v4-flash,d010_confusion_b256000,confusion,spans,256000,False,10,1,1,0.9167,0.0,0.75,0.0,,,0.875,0.0,0.125,0.0,0.0,0.0,1.0,0.0,73.442,224635,0.0229
deepseek-flash,deepseek/deepseek-v4-flash,d010_confusion_b512000,confusion,spans,512000,False,10,1,1,0.7758,0.0,0.625,0.0,,,0.875,0.0,0.125,0.0,0.0,0.0,1.0,0.0,100.601,435943,0.0134
deepseek-flash,deepseek/deepseek-v4-flash,d010_confusion_b64000,confusion,spans,64000,False,10,1,1,0.8305,0.0,0.625,0.0,,,0.75,0.0,0.25,0.0,0.0,0.0,1.0,0.0,36.45,65224,0.0098
deepseek-flash,deepseek/deepseek-v4-flash,d010_rot_b128000,rot,spans,128000,False,10,1,1,0.7841,0.0,0.375,0.0,,,0.8333,0.0,0.1667,0.0,0.0,0.0,1.0,0.0,43.518,149682,0.0272
deepseek-flash,deepseek/deepseek-v4-flash,d010_rot_b256000,rot,spans,256000,False,10,1,1,0.8418,0.0,0.25,0.0,,,0.5833,0.0,0.4167,0.0,0.0,0.0,1.0,0.0,46.582,284220,0.0403
deepseek-flash,deepseek/deepseek-v4-flash,d010_rot_b512000,rot,spans,512000,False,10,1,1,0.8781,0.0,0.25,0.0,,,0.8333,0.0,0.1667,0.0,0.0,0.0,1.0,0.0,53.802,557667,0.0741
deepseek-flash,deepseek/deepseek-v4-flash,d010_rot_b64000,rot,spans,64000,False,10,1,1,0.9145,0.0,0.375,0.0,,,0.7083,0.0,0.2917,0.0,0.0,0.0,1.0,0.0,43.986,81383,0.0097
deepseek-flash,deepseek/deepseek-v4-flash,d020_baseline,baseline,spans,0,True,20,1,1,0.6857,0.0,0.6,0.0,,,0.6471,0.0,0.3529,0.0,0.0,0.0,0.8667,0.0,18.396,16157,0.0029
deepseek-flash,deepseek/deepseek-v4-flash,d020_confusion_b128000,confusion,spans,128000,False,20,1,1,0.7302,0.0,0.4667,0.0,,,0.5882,0.0,0.4118,0.0,0.0,0.0,0.8667,0.0,68.857,123807,0.0145
